ma_don_vi,ten_don_vi,thang,linh_vuc,tiep_nhan,da_xu_ly,dung_han,truc_tuyen,thoi_gian_tb_ngay
DV01,Phường Hoà Thuận,2026-01,Hộ tịch,19,17,15,11,3.7
DV01,Phường Hoà Thuận,2026-01,Đất đai,13,12,11,7,3.7
DV01,Phường Hoà Thuận,2026-01,Chứng thực,25,23,22,14,3.2
DV01,Phường Hoà Thuận,2026-01,Bảo trợ xã hội,7,6,5,3,3.6
DV01,Phường Hoà Thuận,2026-01,Đăng ký kinh doanh,5,4,3,2,2.7
DV01,Phường Hoà Thuận,2026-02,Hộ tịch,22,21,19,13,3.7
DV01,Phường Hoà Thuận,2026-02,Đất đai,8,7,6,4,2.7
DV01,Phường Hoà Thuận,2026-02,Chứng thực,26,25,23,19,2.9
DV01,Phường Hoà Thuận,2026-02,Bảo trợ xã hội,6,5,4,3,3.1
DV01,Phường Hoà Thuận,2026-02,Đăng ký kinh doanh,3,2,1,1,3.5
DV01,Phường Hoà Thuận,2026-03,Hộ tịch,30,27,24,17,2.8
DV01,Phường Hoà Thuận,2026-03,Đất đai,17,16,15,9,3.0
DV01,Phường Hoà Thuận,2026-03,Chứng thực,45,44,39,29,3.7
DV01,Phường Hoà Thuận,2026-03,Bảo trợ xã hội,8,7,6,5,3.1
DV01,Phường Hoà Thuận,2026-03,Đăng ký kinh doanh,8,7,6,3,2.9
DV01,Phường Hoà Thuận,2026-04,Hộ tịch,31,29,28,16,3.3
DV01,Phường Hoà Thuận,2026-04,Đất đai,17,16,15,12,3.2
DV01,Phường Hoà Thuận,2026-04,Chứng thực,39,38,36,19,3.4
DV01,Phường Hoà Thuận,2026-04,Bảo trợ xã hội,7,6,5,4,3.2
DV01,Phường Hoà Thuận,2026-04,Đăng ký kinh doanh,6,5,4,3,3.5
DV01,Phường Hoà Thuận,2026-05,Hộ tịch,26,25,22,16,2.5
DV01,Phường Hoà Thuận,2026-05,Đất đai,19,17,16,11,2.9
DV01,Phường Hoà Thuận,2026-05,Chứng thực,33,32,28,16,3.5
DV01,Phường Hoà Thuận,2026-05,Bảo trợ xã hội,10,9,8,6,2.9
DV01,Phường Hoà Thuận,2026-05,Đăng ký kinh doanh,7,6,5,4,3.0
DV01,Phường Hoà Thuận,2026-06,Hộ tịch,31,29,25,17,3.2
DV01,Phường Hoà Thuận,2026-06,Đất đai,22,21,19,13,3.6
DV01,Phường Hoà Thuận,2026-06,Chứng thực,44,42,38,30,3.6
DV01,Phường Hoà Thuận,2026-06,Bảo trợ xã hội,12,11,10,5,2.9
DV01,Phường Hoà Thuận,2026-06,Đăng ký kinh doanh,9,8,7,4,3.3
DV01,Phường Hoà Thuận,2026-07,Hộ tịch,31,29,28,21,2.5
DV01,Phường Hoà Thuận,2026-07,Đất đai,15,14,12,9,2.7
DV01,Phường Hoà Thuận,2026-07,Chứng thực,34,33,32,19,2.6
DV01,Phường Hoà Thuận,2026-07,Bảo trợ xã hội,9,8,7,4,3.4
DV01,Phường Hoà Thuận,2026-07,Đăng ký kinh doanh,6,5,4,3,3.6
DV01,Phường Hoà Thuận,2026-08,Hộ tịch,25,23,21,16,2.6
DV01,Phường Hoà Thuận,2026-08,Đất đai,16,15,13,9,2.8
DV01,Phường Hoà Thuận,2026-08,Chứng thực,31,29,27,17,3.4
DV01,Phường Hoà Thuận,2026-08,Bảo trợ xã hội,9,8,7,4,3.4
DV01,Phường Hoà Thuận,2026-08,Đăng ký kinh doanh,7,6,5,4,2.4
DV01,Phường Hoà Thuận,2026-09,Hộ tịch,24,23,21,18,3.5
DV01,Phường Hoà Thuận,2026-09,Đất đai,13,12,11,8,3.6
