ma_don_vi,ten_don_vi,loai,dan_so,so_can_bo_mot_cua,khoang_cach_trung_tam_km,ty_le_ho_co_internet
DV01,Phường Hoà Thuận,Phường,18400,7,1.2,0.86
DV02,Phường Tân Hoà,Phường,22100,8,2.0,0.88
DV03,Phường Đông Giang,Phường,15700,6,3.4,0.83
DV04,Phường Nam Phong,Phường,19800,7,4.1,0.85
DV05,Xã Bình An,Xã,9600,4,8.5,0.71
DV06,Xã Long Thành,Xã,11200,5,11.0,0.68
DV07,Xã Phú Điền,Xã,7300,4,14.2,0.61
DV08,Xã Vĩnh Lộc,Xã,8800,4,16.7,0.58
DV09,Xã An Cư,Xã,6400,3,21.3,0.52
DV10,Xã Thanh Sơn,Xã,5900,3,24.8,0.47
DV11,Xã Mỹ Khánh,Xã,10400,5,9.6,0.73
DV12,Xã Hương Trà,Xã,7700,4,18.4,0.55
