ma_don_vi,ten_don_vi,quy,so_phieu,diem_hai_long,ty_le_phan_anh_phan_tram
DV01,Phường Hoà Thuận,2026-Q1,91,4.42,3.2
DV01,Phường Hoà Thuận,2026-Q2,94,4.44,3.1
DV01,Phường Hoà Thuận,2026-Q3,99,4.53,2.7
DV01,Phường Hoà Thuận,2026-Q4,71,4.43,3.3
DV02,Phường Tân Hoà,2026-Q1,79,4.02,3.8
DV02,Phường Tân Hoà,2026-Q2,84,4.18,4.2
DV02,Phường Tân Hoà,2026-Q3,78,4.23,3.6
DV02,Phường Tân Hoà,2026-Q4,81,4.56,2.1
DV03,Phường Đông Giang,2026-Q1,86,4.33,2.6
DV03,Phường Đông Giang,2026-Q2,88,4.12,4.5
DV03,Phường Đông Giang,2026-Q3,66,4.43,3.4
DV03,Phường Đông Giang,2026-Q4,89,4.49,2.7
DV04,Phường Nam Phong,2026-Q1,116,4.24,3.1
DV04,Phường Nam Phong,2026-Q2,69,4.26,3.8
DV04,Phường Nam Phong,2026-Q3,107,4.45,2.4
DV04,Phường Nam Phong,2026-Q4,97,4.18,4.1
DV05,Xã Bình An,2026-Q1,49,4.03,5.0
DV05,Xã Bình An,2026-Q2,45,4.29,4.0
DV05,Xã Bình An,2026-Q3,49,4.21,4.0
DV05,Xã Bình An,2026-Q4,47,4.4,3.6
DV06,Xã Long Thành,2026-Q1,47,4.21,4.0
DV06,Xã Long Thành,2026-Q2,57,4.01,3.5
DV06,Xã Long Thành,2026-Q3,44,4.22,3.1
DV06,Xã Long Thành,2026-Q4,53,4.13,3.4
DV07,Xã Phú Điền,2026-Q1,35,3.91,4.0
DV07,Xã Phú Điền,2026-Q2,42,4.16,3.6
DV07,Xã Phú Điền,2026-Q3,35,4.14,4.5
DV07,Xã Phú Điền,2026-Q4,43,4.14,4.5
DV08,Xã Vĩnh Lộc,2026-Q1,47,4.06,3.4
DV08,Xã Vĩnh Lộc,2026-Q2,47,3.74,5.9
DV08,Xã Vĩnh Lộc,2026-Q3,52,3.78,4.3
DV08,Xã Vĩnh Lộc,2026-Q4,44,4.0,4.1
DV09,Xã An Cư,2026-Q1,28,3.91,4.5
DV09,Xã An Cư,2026-Q2,34,3.72,6.0
DV09,Xã An Cư,2026-Q3,24,3.94,4.7
DV09,Xã An Cư,2026-Q4,22,4.08,4.6
DV10,Xã Thanh Sơn,2026-Q1,34,3.68,4.5
DV10,Xã Thanh Sơn,2026-Q2,28,3.61,5.3
DV10,Xã Thanh Sơn,2026-Q3,26,3.64,4.3
DV10,Xã Thanh Sơn,2026-Q4,21,3.78,4.5
DV11,Xã Mỹ Khánh,2026-Q1,48,3.97,4.8
DV11,Xã Mỹ Khánh,2026-Q2,58,4.0,3.7
DV11,Xã Mỹ Khánh,2026-Q3,48,4.34,3.5
DV11,Xã Mỹ Khánh,2026-Q4,40,4.43,2.4
DV12,Xã Hương Trà,2026-Q1,34,3.76,4.4
DV12,Xã Hương Trà,2026-Q2,44,3.87,4.9
DV12,Xã Hương Trà,2026-Q3,37,4.12,3.9
DV12,Xã Hương Trà,2026-Q4,30,3.83,5.0
