ma_don_vi,ten_don_vi,ngay_tiep_nhan,linh_vuc,so_ho_so,thoi_gian_tb_ngay,can_bo_phu_trach
DV06,Xã Long Thành,11/04/2026,Chứng thực,16,4.5,Lê Thị B
DV02,Phường Tân Hoà,2026-06-28,Hộ tịch,21,2.1,Hoàng Văn E
DV01,P. Hoà Thuận,07/01/2026,Hộ tịch,28,2.3,Hoàng Văn E
DV05,Xã Bình An,10/03/2026,Hộ tịch,13,3.0,Lê Thị B
DV07,Xã Phú Điền,12/06/2026,Chứng thực,8,3.1,Trần Văn A
DV12,Xã Hương Trà,18/05/2026,Hộ tịch,10,5.4,Hoàng Văn E
DV09,Xã An Cư,20/06/2026,Đất đai,6,4.7,Vũ Thị G
DV11,Xã Mỹ Khánh,19/04/2026,Chứng thực,15,2.7,Trần Văn A
DV04,Phường Nam Phong,13/06/2026,Hộ tịch,17,4.9,Phạm Văn C
DV12,Xã Hương Trà,12/01/2026,Đất đai,9,5.8,Hoàng Văn E
DV05,Xã Bình An,01/02/2026,Hộ tịch,10,4.1,Hoàng Văn E
DV06,Xã Long Thành,06/02/2026,Đất đai,16,6.0,Hoàng Văn E
DV04,Phường Nam Phong,08/01/2026,Chứng thực,17,5.0,Hoàng Văn E
DV02,Phường Tân Hoà,24/02/2026,Chứng thực,34,1.6,Hoàng Văn E
DV02,Phường Tân Hoà,15/03/2026,Chứng thực,25,2.2,Phạm Văn C
DV04,Phường Nam Phong,19/02/2026,Chứng thực,26,2.8,Lê Thị B
DV02,Phường Tân Hoà,23/02/2026,Hộ tịch,23,4.1,Nguyễn Thị D
DV06,Xã Long Thành,01/02/2026,Chứng thực,14,5.7,Trần Văn A
DV07,Xã Phú Điền,19/02/2026,Đất đai,7,5.6,Hoàng Văn E
DV06,Xã Long Thành,11/01/2026,Hộ tịch,13,4.3,Trần Văn A
DV04,Phường Nam Phong,22/03/2026,Hộ tịch,27,3.9,Phạm Văn C
DV02,Phường Tân Hoà,04/04/2026,Đất đai,28,2.4,Hoàng Văn E
DV05,Xã Bình An,19/02/2026,Đất đai,10,3.0,Lê Thị B
DV09,Xã An Cư,22/03/2026,Chứng thực,6,5.6,Hoàng Văn E
DV03,Phường Đông Giang,18/04/2026,Đất đai,13,2.6,Nguyễn Thị D
DV09,Xã An Cư,24/04/2026,Hộ tịch,7,6.0,Phạm Văn C
DV08,Xã Vĩnh Lộc,07/05/2026,Đất đai,11,5.3,Vũ Thị G
DV02,Phường Tân Hoà,11/05/2026,Chứng thực,26,2.0,Phạm Văn C
DV11,Xã Mỹ Khánh,21/04/2026,Đất đai,11,3.1,Phạm Văn C
DV02,Phường Tân Hoà,12/03/2026,Đất đai,,4.0,Phạm Văn C
DV05,Xã Bình An,07/01/2026,Đất đai,13,4.0,Lê Thị B
DV02,Phường Tân Hoà,28/01/2026,Chứng thực,20,5.9,Lê Thị B
DV07,Xã Phú Điền,15/05/2026,Chứng thực,5,3.0,Lê Thị B
DV12,Xã Hương Trà,03/02/2026,Chứng thực,11,3.2,Trần Văn A
DV07,Xã Phú Điền,01/01/2026,Đất đai,7,5.6,Hoàng Văn E
DV01,Phường Hoà Thuận,11/06/2026,Đất đai,26,5.6,Lê Thị B
DV11,Xã Mỹ Khánh,21/02/2026,Đất đai,8,4.6,Lê Thị B
DV07,Xã Phú Điền,18/04/2026,Chứng thực,6,1.8,Hoàng Văn E
DV07,Xã Phú Điền,04/03/2026,Đất đai,11,4.8,Phạm Văn C
DV07,Xã Phú Điền,08/03/2026,Chứng thực,8,3.6,Nguyễn Thị D
DV12,Xã Hương Trà,24/03/2026,Đất đai,10,2.2,Nguyễn Thị D
DV05,Xã Bình An,18/06/2026,Hộ tịch,11,2.7,Vũ Thị G
DV03,Phường Đông Giang,13/02/2026,Chứng thực,20,5.9,Vũ Thị G
DV01,Phường Hoà Thuận,12/04/2026,Chứng thực,20,3.7,Phạm Văn C
DV01,Phường Hoà Thuận,19/06/2026,Chứng thực,22,5.3,Vũ Thị G
DV11,Xã Mỹ Khánh,23/01/2026,Hộ tịch,11,1.9,Lê Thị B
DV12,Xã Hương Trà,25/03/2026,Hộ tịch,9,3.9,Hoàng Văn E
DV01,Phường Hoà Thuận,05/02/2026,Đất đai,20,4.9,Lê Thị B
DV08,Xã Vĩnh Lộc,21/06/2026,Hộ tịch,12,4.9,Nguyễn Thị D
DV09,Xã An Cư,02/05/2026,Đất đai,9,3.3,Trần Văn A
DV10,Xã Thanh Sơn,25/05/2026,Đất đai,9,2.8,Vũ Thị G
DV10,Xã Thanh Sơn,25/02/2026,Đất đai,6,3.5,Trần Văn A
DV09,Xã An Cư,26/02/2026,Chứng thực,5,5.7,Lê Thị B
DV04,Phường Nam Phong,17/02/2026,Đất đai,,2.3,Vũ Thị G
