ma_don_vi,ten_don_vi,nam,hang_muc,du_toan_trieu_dong,thuc_hien_trieu_dong
DV01,Phường Hoà Thuận,2024,Hạ tầng và thiết bị,284.5,281.1
DV01,Phường Hoà Thuận,2024,Phần mềm và bản quyền,153.7,137.9
DV01,Phường Hoà Thuận,2024,Thuê dịch vụ công nghệ thông tin,191.7,163.6
DV01,Phường Hoà Thuận,2024,Đào tạo cán bộ,58.2,55.3
DV01,Phường Hoà Thuận,2024,An toàn thông tin,102.0,94.8
DV01,Phường Hoà Thuận,2025,Hạ tầng và thiết bị,271.0,253.4
DV01,Phường Hoà Thuận,2025,Phần mềm và bản quyền,137.3,121.7
DV01,Phường Hoà Thuận,2025,Thuê dịch vụ công nghệ thông tin,180.5,159.0
DV01,Phường Hoà Thuận,2025,Đào tạo cán bộ,65.2,57.0
DV01,Phường Hoà Thuận,2025,An toàn thông tin,84.9,74.7
DV01,Phường Hoà Thuận,2026,Hạ tầng và thiết bị,285.4,208.6
DV01,Phường Hoà Thuận,2026,Phần mềm và bản quyền,153.7,105.2
DV01,Phường Hoà Thuận,2026,Thuê dịch vụ công nghệ thông tin,207.6,135.8
DV01,Phường Hoà Thuận,2026,Đào tạo cán bộ,58.4,37.9
DV01,Phường Hoà Thuận,2026,An toàn thông tin,86.4,64.5
DV02,Phường Tân Hoà,2024,Hạ tầng và thiết bị,369.8,305.2
DV02,Phường Tân Hoà,2024,Phần mềm và bản quyền,167.2,158.5
DV02,Phường Tân Hoà,2024,Thuê dịch vụ công nghệ thông tin,222.5,193.2
DV02,Phường Tân Hoà,2024,Đào tạo cán bộ,76.7,66.0
DV02,Phường Tân Hoà,2024,An toàn thông tin,111.6,95.4
DV02,Phường Tân Hoà,2025,Hạ tầng và thiết bị,350.4,303.5
DV02,Phường Tân Hoà,2025,Phần mềm và bản quyền,194.4,178.6
DV02,Phường Tân Hoà,2025,Thuê dịch vụ công nghệ thông tin,207.1,207.1
DV02,Phường Tân Hoà,2025,Đào tạo cán bộ,69.2,61.6
